rule_set_id,highest_level_reading_course,gpa_cum,grade_level,english,cst,cst_english,transfer_level,levels_below_transfer,insufficient_data
${rule_set_id},0,2.7,11,3,,,TO,-1,false
${rule_set_id},0,2.7,11,,,,Y,0,false
${rule_set_id},0,2,11,,,,A,1,false
${rule_set_id},0,1.6,11,,,,B,2,false
${rule_set_id},0,1.3,11,,,,C,3,false
${rule_set_id},0,,11,,,,D,4,false
${rule_set_id},0,3.1,12,,,,TO,-1,false
${rule_set_id},0,2.8,12,,,,Y,0,false
${rule_set_id},0,2.1,12,1.7,,,A,1,false
${rule_set_id},0,2.3,12,,,,B,2,false
${rule_set_id},0,1.1,12,,,,C,3,false
${rule_set_id},0,,12,,286,,C,3,false
${rule_set_id},0,,12,,,,D,4,false
${rule_set_id},1,2.8,11,3,,,TO,-1,false
${rule_set_id},1,2.3,11,,,,A,1,false
${rule_set_id},1,1.9,11,,,,B,2,false
${rule_set_id},1,,11,,,,D,4,false
${rule_set_id},1,2.5,12,,,,TO,-1,false
${rule_set_id},1,2,12,2.3,,,A,1,false
${rule_set_id},1,2,12,,274,,A,1,false
${rule_set_id},1,,12,,,310,B,2,false
${rule_set_id},1,2.1,12,,,,C,3,false
${rule_set_id},1,,12,,234,,C,3,false
${rule_set_id},1,,12,,,,D,4,false
${rule_set_id},2,2.7,11,3,,,TO,-1,false
${rule_set_id},2,2.3,11,,,,B,2,false
${rule_set_id},2,1.9,11,,,,C,3,false
${rule_set_id},2,,11,,,,D,4,false
${rule_set_id},2,2.7,12,,,,TO,-1,false
${rule_set_id},2,2.2,12,,278,,TO,-1,false
${rule_set_id},2,2.2,12,,,,B,2,false
${rule_set_id},2,1.9,12,,,,C,3,false
${rule_set_id},2,,12,,236,,C,3,false
${rule_set_id},2,,12,,,,D,4,false